Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
127,Russell Shepard (FA),10,19,188,18.8,49,4,2,0,0,0,0,12,40.8,3.4,0.0%,2018
128,Travis Benjamin (SF),12,24,186,15.5,46,4,1,7,41,0,0,12,40.7,3.4,0.0%,2018
129,Tavon Austin (FA),8,13,140,17.5,64,2,2,6,55,0,0,7,39.5,5.6,0.0%,2018
130,Justin Hardy (FA),14,22,133,9.5,19,0,2,0,0,0,0,16,39.3,2.5,0.0%,2018
131,Brandon LaFell (FA),12,16,135,11.3,24,1,2,0,0,0,0,6,37.5,6.3,0.0%,2018
132,Cody Core (MIA),13,28,160,12.3,30,2,1,0,0,0,0,14,37,2.6,0.0%,2018
133,Alex Erickson (WAS),20,29,167,8.4,28,1,0,3,22,0,1,16,36.9,2.3,0.0%,2018
134,Marcell Ateman (FA),15,31,154,10.3,32,2,1,0,0,0,0,7,36.4,5.2,0.0%,2018
135,Cody Latimer (FA),11,16,190,17.3,39,4,1,0,0,0,0,6,36,6,0.0%,2018
136,Josh Bellamy (FA),14,25,117,8.4,20,1,1,0,0,0,0,16,33.7,2.1,0.0%,2018
137,Deonte Thompson (FA),17,30,161,9.5,15,0,0,0,0,0,0,13,33.1,2.5,0.0%,2018
138,Marvin Hall (FA),10,19,149,14.9,47,2,1,2,0,0,0,16,30.9,1.9,0.0%,2018
139,Austin Carr (FA),9,14,97,10.8,25,1,2,0,0,0,0,14,30.7,2.2,0.0%,2018
140,Brandon Marshall (FA),11,23,136,12.4,27,2,1,0,0,0,0,7,30.6,4.4,2.6%,2018
141,D.J. Chark Jr. (DET),14,32,174,12.4,38,2,0,0,0,0,1,11,29.4,2.7,64.9%,2018
142,Andre Holmes (FA),13,24,162,12.5,24,5,0,0,0,0,0,15,29.2,1.9,0.0%,2018
143,Michael Floyd (FA),10,24,100,10,20,1,1,0,0,0,0,13,28,2.2,0.0%,2018
144,Damion Ratley (FA),13,20,144,11.1,27,3,0,0,0,0,0,13,27.4,2.1,0.0%,2018
145,Richie James Jr. (NYG),9,14,130,14.4,53,2,1,0,0,0,1,13,26,2,0.1%,2018
146,Andy Jones (FA),11,24,80,7.3,15,0,1,0,0,0,0,8,25,3.1,0.0%,2018
147,Cameron Meredith (FA),9,10,114,12.7,46,2,1,0,0,0,1,6,24.4,4.1,0.0%,2018
148,Jake Kumerow (BUF),8,11,103,12.9,49,1,1,0,0,0,0,5,24.3,4.9,0.0%,2018
149,Brandon Powell (LAR),11,17,129,11.7,41,1,0,1,4,0,0,6,24.3,4.1,0.1%,2018
150,Deontay Burnett (FA),10,15,143,14.3,29,3,0,0,0,0,0,5,24.3,4.9,0.0%,2018
151,Andre Roberts (CAR),10,18,79,7.9,20,1,1,2,20,0,1,16,23.9,1.5,0.1%,2018
152,Trey Quinn (DEN),9,10,75,8.3,15,0,1,1,0,0,0,3,22.5,7.5,0.0%,2018
153,Darius Jennings (FA),11,15,101,9.2,36,1,0,1,2,0,0,16,22.1,1.4,0.0%,2018
154,Marcus Johnson (SF),6,8,102,17,34,1,1,1,-2,0,0,5,22,4.4,0.1%,2018
155,Eli Rogers (FA),12,14,79,6.6,17,0,0,1,-4,0,0,3,21.5,7.2,0.0%,2018
156,Vyncint Smith (TB),5,10,91,18.2,35,2,1,0,0,0,0,7,20.1,2.9,0.0%,2018
157,Leonte Carroo (FA),2,4,94,47,74,2,1,1,14,0,0,9,18.8,2.1,0.0%,2018
158,Brice Butler (FA),6,10,60,10,23,1,1,0,0,0,0,8,18,2.3,0.0%,2018
159,Cameron Batson (FA),8,11,82,10.3,26,1,0,1,1,0,0,11,16.3,1.5,0.0%,2018
160,Tommylee Lewis (MIA),3,3,60,20,28,2,1,2,10,0,1,7,14,2,0.0%,2018
161,J.J. Nelson (FA),7,19,64,9.1,17,0,0,4,0,0,0,14,13.4,1,0.0%,2018
162,Kevin White (NO),4,8,92,23,54,2,0,0,0,0,0,9,13.2,1.5,0.0%,2018
163,Corey Coleman (KC),5,8,71,14.2,30,1,0,1,5,0,0,8,12.6,1.6,0.0%,2018
164,De'Anthony Thomas (FA),3,5,29,9.7,15,0,1,1,6,0,0,5,12.5,2.5,0.0%,2018
165,Russell Gage (TB),6,10,63,10.5,22,1,0,0,0,0,0,15,12.3,0.8,85.4%,2018
166,Kamar Aiken (FA),6,7,53,8.8,18,0,0,0,0,0,0,5,11.3,2.3,0.0%,2018
167,Dwayne Harris (FA),6,6,40,6.7,13,0,0,2,12,0,0,15,11.2,0.7,0.0%,2018
168,Noah Brown (DAL),5,8,54,10.8,22,1,0,0,0,0,0,8,10.4,1.3,0.2%,2018
169,Rashad Greene (FA),6,8,60,10,12,0,0,0,0,0,1,8,10,1.3,0.0%,2018
170,Bobo Wilson (FA),4,5,52,13,25,1,0,0,0,0,0,5,9.2,1.8,0.1%,2018
171,Derrick Willies (FA),3,5,61,20.3,39,1,0,0,0,0,0,5,9.1,1.8,0.0%,2018
172,Jawill Davis (FA),4,8,40,10,22,1,0,0,0,0,0,7,8,1.1,0.0%,2018
173,Chad Beebe (FA),4,4,39,9.8,18,0,0,0,0,0,0,3,7.9,2.6,0.0%,2018
174,Auden Tate (ATL),4,12,35,8.8,15,0,0,0,0,0,0,7,7.5,1.1,0.4%,2018
175,Rishard Matthews (FA),5,9,24,4.8,7,0,0,0,0,0,0,8,7.4,0.9,0.0%,2018
176,Javon Wims (CLE),4,5,32,8,16,0,0,0,0,0,0,4,7.2,1.8,0.0%,2018
177,Ray-Ray McCloud (SF),5,6,36,7.2,16,0,0,2,4,0,1,10,7,0.7,0.2%,2018
178,Jalen Tolliver (FA),3,6,37,12.3,15,0,0,0,0,0,0,3,6.7,2.2,0.0%,2018
179,Shelton Gibson (FA),1,3,48,48,48,1,0,0,0,0,0,15,5.8,0.4,0.0%,2018
180,Justin Hunter (FA),3,13,21,7,12,0,0,0,0,0,0,5,5.1,1,0.0%,2018
181,Brian Quick (FA),3,3,18,6,6,0,0,0,0,0,0,6,4.8,0.8,0.0%,2018
182,Charone Peake (FA),2,3,25,12.5,14,0,0,0,0,0,0,13,4.5,0.3,0.0%,2018
183,Malik Turner (SF),2,3,20,10,19,0,0,0,0,0,0,6,4,0.7,0.1%,2018
184,Terrance Williams (FA),2,3,18,9,12,0,0,0,0,0,0,3,3.8,1.3,0.0%,2018
185,KhaDarel Hodge (ATL),2,3,17,8.5,14,0,0,0,0,0,0,14,3.7,0.3,0.2%,2018
186,Nick Williams (FA),2,5,17,8.5,11,0,0,0,0,0,0,4,3.7,0.9,0.0%,2018
187,River Cracraft (MIA),1,2,44,44,44,1,0,0,0,0,1,8,3.4,0.4,0.0%,2018
188,Brandon Zylstra (CAR),1,2,23,23,23,1,0,0,0,0,0,16,3.3,0.2,0.1%,2018
189,Gehrig Dieter (FA),1,3,22,22,22,1,0,0,0,0,0,4,3.2,0.8,0.1%,2018
190,Jeremy Kerley (FA),2,4,7,3.5,4,0,0,0,0,0,0,1,2.7,2.7,0.0%,2018
191,Tim White (FA),1,1,14,14,14,0,0,0,0,0,0,3,2.4,0.8,0.0%,2018
192,Sammie Coates (FA),1,2,12,12,12,0,0,0,0,0,0,12,2.2,0.2,0.0%,2018
193,Josh Malone (TEN),1,5,12,12,12,0,0,0,0,0,0,9,2.2,0.2,0.0%,2018
194,Justin Hardee (NYJ),1,1,10,10,10,0,0,0,0,0,0,16,2,0.1,0.0%,2018
195,Victor Bolden Jr. (FA),1,4,10,10,10,0,0,0,0,0,0,6,2,0.3,0.0%,2018
196,Cam Phillips (FA),1,1,9,9,9,0,0,0,0,0,0,2,1.9,1,0.0%,2018
197,Darvin Kidsy (FA),1,2,8,8,8,0,0,0,0,0,0,2,1.8,0.9,0.0%,2018
198,Keon Hatcher (FA),1,2,8,8,8,0,0,0,0,0,0,3,1.8,0.6,0.0%,2018
199,Damiere Byrd (ATL),1,2,8,8,8,0,0,0,0,0,0,8,1.8,0.2,0.2%,2018
200,Allen Lazard (GB),1,1,7,7,7,0,0,0,0,0,0,1,1.7,1.7,81.5%,2018
201,Marcus Kemp (FA),1,2,7,7,7,0,0,0,0,0,0,16,1.7,0.1,0.0%,2018
202,J'Mon Moore (FA),2,3,15,7.5,10,0,0,0,0,0,1,12,1.5,0.1,0.0%,2018
203,Justin Watson (KC),1,3,5,5,5,0,0,0,0,0,0,12,1.5,0.1,0.1%,2018
204,Jehu Chesson (FA),1,2,7,7,7,0,0,1,-4,0,0,12,1.3,0.1,0.0%,2018
205,Darrius Heyward-Bey (FA),1,2,9,9,9,0,0,1,-7,0,0,14,1.2,0.1,0.0%,2018
290,Rico Gafford (GB),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2018
291,Steven Mitchell Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
292,Steven Dunbar Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
294,Saeed Blacknall (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
