Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season
3,Justin Tucker (BAL),28,29,96.6,51,0,8,9,10,1,57,59,16,153,9.6,99.5%,2019
7,Justin Tucker (BAL),26,29,89.7,55,0,8,6,9,3,52,53,16,145,9.1,99.5%,2020
1,Ka'imi Fairbairn (HOU),37,42,88.1,54,1,9,11,12,4,39,41,16,170,10.6,0.3%,2018
15,Ka'imi Fairbairn (HOU),27,31,87.1,54,0,8,9,6,4,37,40,16,132,8.3,0.3%,2020
19,Ka'imi Fairbairn (HOU),20,25,80,54,0,5,8,4,3,40,45,16,110,6.9,0.3%,2019
29,Ka'imi Fairbairn (HOU),15,19,78.9,61,0,4,5,2,4,13,16,13,68,5.2,0.3%,2021
44,Kaare Vedvik (FA),0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.2%,2019
33,Kai Forbath (LAR),11,11,100,50,0,2,1,7,1,11,12,5,53,10.6,3.0%,2019
39,Kai Forbath (LAR),4,5,80,41,0,2,1,1,0,3,3,3,16,5.3,3.0%,2018
41,Kai Forbath (LAR),2,3,66.7,23,0,2,0,0,0,4,5,2,10,5,3.0%,2020
52,Kasey Redfern (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
39,Lirim Hajrullahu (FA),4,5,80,35,0,2,2,0,0,8,8,4,20,5,0.2%,2021
6,Mason Crosby (GB),30,37,81.1,53,0,4,10,11,5,34,36,16,145,9.1,23.3%,2018
15,Mason Crosby (GB),25,34,73.5,54,0,9,9,4,3,49,51,17,134,7.9,23.3%,2021
19,Mason Crosby (GB),16,16,100,57,1,1,5,5,4,59,63,16,120,7.5,23.3%,2020
18,Mason Crosby (GB),22,24,91.7,54,1,2,11,7,1,40,41,16,115,7.2,23.3%,2019
32,Matt Ammendola (FA),13,19,68.4,49,0,5,6,2,0,14,15,11,55,5,0.1%,2021
19,Matt Bryant (FA),20,21,95.2,57,0,4,5,7,4,33,35,13,108,8.3,1.1%,2018
34,Matt Bryant (FA),9,14,64.3,52,0,1,3,3,2,14,15,8,48,6,1.1%,2019
5,Matt Gay (LAR),32,34,94.1,55,0,6,15,7,4,48,49,17,159,9.4,78.3%,2021
4,Matt Gay (LAR),27,35,77.1,58,0,6,5,11,5,43,48,16,145,9.1,78.3%,2019
30,Matt Gay (LAR),14,16,87.5,51,0,2,5,6,1,16,16,7,66,9.4,78.3%,2020
35,Matt McCrane (FA),8,12,66.7,47,0,3,2,3,0,9,9,5,36,7.2,0.0%,2018
51,Matt McCrane (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
8,Matt Prater (ARI),30,37,81.1,62,0,11,9,3,7,47,49,17,154,9.1,53.5%,2021
7,Matt Prater (ARI),26,31,83.9,56,0,11,2,6,7,35,36,16,133,8.3,53.5%,2019
11,Matt Prater (ARI),28,32,87.5,54,0,8,12,5,3,30,30,16,129.3,8.1,53.5%,2018
22,Matt Prater (ARI),21,28,75,59,0,4,7,4,6,38,41,16,117,7.3,53.5%,2020
28,Matthew Wright (FA),21,24,87.5,56,0,7,7,3,4,13,15,14,87,6.2,1.3%,2021
38,Matthew Wright (FA),4,4,100,46,0,1,1,2,0,7,7,3,21,7,1.3%,2020
20,Michael Badgley (FA),24,33,72.7,53,0,8,6,8,2,36,39,16,120,7.5,15.6%,2020
24,Michael Badgley (FA),18,22,81.8,46,0,4,6,8,0,40,41,13,102,7.8,15.6%,2021
31,Michael Badgley (FA),15,16,93.8,59,0,4,5,5,1,27,28,10,79,7.9,15.6%,2018
31,Michael Badgley (FA),13,16,81.3,49,0,5,2,6,0,19,19,9,64,7.1,15.6%,2019
79,Michael Palardy (MIA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,33.3%,2018
79,Michael Palardy (MIA),0,0,0,0,0,0,0,0,0,0,0,16,0,0,33.3%,2019
74,Michael Palardy (MIA),0,0,0,0,0,0,0,0,0,0,0,17,0,0,33.3%,2021
37,Mike Nugent (FA),5,8,62.5,37,0,3,2,0,0,15,16,5,30,6,1.0%,2019
35,Mike Nugent (FA),7,8,87.5,43,0,1,4,2,0,7,7,4,30,7.5,1.0%,2020
38,Mike Nugent (FA),6,6,100,52,0,3,0,2,1,4,5,3,26,8.7,1.0%,2018
2,Nick Folk (NE),36,39,92.3,53,0,9,11,11,5,42,47,17,171,10.1,66.2%,2021
18,Nick Folk (NE),26,28,92.9,51,0,6,7,11,2,30,33,16,123,7.7,66.2%,2020
32,Nick Folk (NE),14,17,82.4,51,1,5,3,4,1,12,12,7,60,8.6,66.2%,2019
36,Phil Dawson (FA),5,8,62.5,43,0,2,2,1,0,15,15,10,31,3.1,0.1%,2018
16,Randy Bullock (TEN),26,31,83.9,51,0,5,12,8,1,42,45,16,130,8.1,2.0%,2021
13,Randy Bullock (TEN),27,31,87.1,57,0,10,6,10,1,24,25,16,117,7.3,2.0%,2019
22,Randy Bullock (TEN),19,23,82.6,51,0,4,7,6,2,39,41,16,106,6.6,2.0%,2018
