Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
303,Neal Sterling (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
36,Nick Boyle (BAL),31,43,321,10.4,35,4,2,0,0,0,0,16,75.1,4.7,0.2%,2019
46,Nick Boyle (BAL),23,37,213,9.3,25,1,0,0,0,0,0,16,44.3,2.8,0.2%,2018
59,Nick Boyle (BAL),14,17,113,8.1,21,0,2,0,0,0,0,9,37.3,4.1,0.2%,2020
115,Nick Boyle (BAL),1,2,2,2,2,0,0,0,0,0,0,2,1.2,0.6,0.2%,2021
86,Nick Keizer (FA),6,10,63,10.5,22,0,0,0,0,0,1,16,10.3,0.6,0.0%,2020
61,Nick O'Leary (FA),13,18,109,8.4,19,0,1,0,0,0,0,12,29.9,2.5,0.0%,2019
69,Nick O'Leary (FA),8,10,86,10.8,19,0,1,0,0,0,0,12,22.6,1.9,0.0%,2018
160,Nick Ralston (DAL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021
30,Nick Vannett (NO),29,43,269,9.3,32,1,3,0,0,0,0,15,73.9,4.9,0.1%,2018
55,Nick Vannett (NO),17,22,166,9.8,18,0,0,0,0,0,0,16,33.6,2.1,0.1%,2019
63,Nick Vannett (NO),14,21,95,6.8,19,0,1,0,0,0,0,15,29.5,2,0.1%,2020
65,Nick Vannett (NO),9,15,133,14.8,30,0,1,0,0,0,0,7,28.3,4,0.1%,2021
73,Niles Paul (FA),10,13,98,9.8,22,1,0,1,-3,0,0,6,19.5,3.3,0.0%,2018
12,Noah Fant (SEA),68,90,670,9.9,35,0,4,0,0,0,0,16,159,9.9,86.3%,2021
9,Noah Fant (SEA),62,93,673,10.9,37,0,3,0,0,0,0,15,149.3,10,86.3%,2020
16,Noah Fant (SEA),40,66,562,14.1,75,10,3,3,-12,0,1,16,111,6.9,86.3%,2019
76,Noah Gray (KC),7,10,36,5.1,8,0,1,0,0,0,0,7,16.6,2.4,0.4%,2021
120,Noah Togiai (PHI),0,1,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2020
123,Noah Togiai (PHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
14,O.J. Howard (BUF),34,48,565,16.6,75,11,5,0,0,0,0,10,120.5,12.1,3.6%,2018
29,O.J. Howard (BUF),34,53,459,13.5,33,8,1,0,0,0,1,14,83.9,6,3.6%,2019
58,O.J. Howard (BUF),11,19,146,13.3,33,0,2,0,0,0,0,4,37.6,9.4,3.6%,2020
62,O.J. Howard (BUF),14,21,135,9.6,21,0,1,0,0,0,0,11,33.5,3,3.6%,2021
105,Orson Charles (FA),3,5,23,7.7,9,0,0,0,0,0,0,13,5.3,0.4,0.0%,2018
88,Parker Hesse (ATL),5,6,43,8.6,17,0,0,0,0,0,0,4,9.3,2.3,0.1%,2021
13,Pat Freiermuth (PIT),60,79,497,8.3,24,0,7,0,0,0,1,16,151.7,9.5,89.0%,2021
279,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0%,2018
282,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0%,2019
262,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.0%,2020
238,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0%,2021
52,Pharaoh Brown (HOU),14,16,163,11.6,29,0,2,0,0,0,0,13,42.3,3.3,0.2%,2020
58,Pharaoh Brown (HOU),23,34,171,7.4,29,0,0,0,0,0,1,13,38.1,2.9,0.2%,2021
99,Pharaoh Brown (HOU),2,3,27,13.5,18,0,0,0,0,0,0,9,4.7,0.5,0.2%,2019
117,Rashod Berry (JAC),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2020
134,Rashod Berry (JAC),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2021
125,Reggie Gilliam (BUF),2,2,16,8,15,0,1,0,0,0,0,14,0,0,0.0%,2020
133,Reggie Gilliam (BUF),3,5,23,7.7,8,0,0,3,3,0,0,8,0,0,0.0%,2021
36,Rhett Ellison (FA),25,35,272,10.9,29,2,1,0,0,0,0,14,60.2,4.3,0.0%,2018
48,Rhett Ellison (FA),18,28,167,9.3,31,3,1,0,0,0,0,10,40.7,4.1,0.0%,2019
35,Richard Rodgers (PHI),24,31,345,14.4,33,0,2,0,0,0,0,14,70.5,5,0.1%,2020
108,Richard Rodgers (PHI),2,2,11,5.5,9,0,0,0,0,0,0,1,3.1,3.1,0.1%,2021
114,Richard Rodgers (PHI),1,1,7,7,7,0,0,0,0,0,0,7,1.7,0.2,0.1%,2018
299,Richard Rodgers (PHI),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.1%,2019
29,Ricky Seals-Jones (NYG),34,70,343,10.1,40,5,1,0,0,0,0,15,74.3,5,8.9%,2018
34,Ricky Seals-Jones (NYG),30,49,271,9,39,0,2,0,0,0,0,11,69.1,6.3,8.9%,2021
41,Ricky Seals-Jones (NYG),14,22,229,16.4,59,5,4,0,0,0,1,14,58.9,4.2,8.9%,2019
272,Ricky Seals-Jones (NYG),0,1,0,0,0,0,0,0,0,0,0,2,0,0,8.9%,2020
99,Rico Gathers (FA),3,7,45,15,32,1,0,0,0,0,0,15,7.5,0.5,0.0%,2018
7,Rob Gronkowski (FA),55,88,802,14.6,42,0,6,0,0,0,0,12,171.2,14.3,88.1%,2021
8,Rob Gronkowski (FA),45,77,623,13.8,48,0,7,0,0,0,0,16,149.3,9.3,88.1%,2020
11,Rob Gronkowski (FA),47,72,682,14.5,42,8,3,0,0,0,1,13,131.2,10.1,88.1%,2018
254,Rob Gronkowski (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,88.1%,2019
3,Robert Tonyan (GB),52,59,586,11.3,45,0,11,0,0,0,0,16,176.6,11,46.6%,2020
50,Robert Tonyan (GB),18,29,204,11.3,33,0,2,0,0,0,0,8,50.4,6.3,46.6%,2021
65,Robert Tonyan (GB),10,15,100,10,28,2,1,0,0,0,0,11,26,2.4,46.6%,2019
76,Robert Tonyan (GB),4,6,77,19.3,54,1,1,0,0,0,0,16,17.7,1.1,46.6%,2018
48,Ross Dwelley (SF),19,24,245,12.9,36,0,1,0,0,0,0,16,49.5,3.1,0.1%,2020
52,Ross Dwelley (SF),15,22,91,6.1,25,1,2,0,0,0,0,16,36.1,2.3,0.1%,2019
80,Ross Dwelley (SF),4,5,51,12.8,21,0,1,0,0,0,0,4,15.1,3.8,0.1%,2021
107,Ross Dwelley (SF),2,2,14,7,8,0,0,0,0,0,0,11,3.4,0.3,0.1%,2018
96,Ross Travis (FA),4,6,51,12.8,25,1,0,0,0,0,1,3,7.1,2.4,0.0%,2019
