Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
88,Laquon Treadwell (JAC),33,51,434,13.2,41,0,1,0,0,0,0,12,82.4,6.9,0.3%,2021
92,Laquon Treadwell (JAC),35,53,302,8.6,22,1,1,0,0,0,0,15,71.2,4.7,0.3%,2018
134,Laquon Treadwell (JAC),9,16,184,20.4,58,3,1,0,0,0,0,14,33.4,2.4,0.3%,2019
153,Laquon Treadwell (JAC),6,7,49,8.2,14,0,2,0,0,0,0,5,22.9,4.6,0.3%,2020
25,Larry Fitzgerald (FA),69,112,734,10.6,37,8,6,0,0,0,0,16,185.7,11.6,0.2%,2018
35,Larry Fitzgerald (FA),75,109,804,10.7,54,10,4,0,0,0,1,16,177.4,11.1,0.2%,2019
74,Larry Fitzgerald (FA),54,72,409,7.6,18,0,1,0,0,0,0,13,100.9,7.8,0.2%,2020
46,Laviska Shenault Jr. (JAC),58,79,600,10.3,36,0,5,18,91,0,0,14,157.1,11.2,1.8%,2020
56,Laviska Shenault Jr. (JAC),63,100,619,9.8,58,0,0,11,41,0,1,16,127,7.9,1.8%,2021
193,Lawrence Cager (NYJ),2,6,35,17.5,19,0,0,0,0,0,0,2,5.5,2.8,0.0%,2020
157,Leonte Carroo (FA),2,4,94,47,74,2,1,1,14,0,0,9,18.8,2.1,0.0%,2018
498,Leonte Carroo (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
119,Lil'Jordan Humphrey (FA),13,18,249,19.2,56,0,2,0,0,0,0,8,49.9,6.2,0.1%,2021
167,Lil'Jordan Humphrey (FA),3,5,46,15.3,17,0,1,0,0,0,0,3,13.6,4.5,0.1%,2020
323,Lil'Jordan Humphrey (FA),0,1,0,0,0,0,0,0,0,0,0,5,0,0,0.1%,2019
228,Lynn Bowden Jr. (MIA),28,37,211,7.5,22,0,0,9,32,0,0,10,0,0,0.2%,2020
112,Mack Hollins (LV),14,28,223,15.9,65,0,4,0,0,0,0,16,60.3,3.8,0.1%,2021
