Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
25,Eddy Pineiro (CAR),0,2,0,0,0,0,0,0,0,1,1,1,1,1,4.6%,2019,11
43,Giorgio Tavecchio (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0%,2019,1
35,Graham Gano (NYG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,69.0%,2019,1
25,Greg Joseph (MIN),0,0,0,0,0,0,0,0,0,5,5,1,5,5,28.6%,2019,17
31,Greg Joseph (MIN),0,0,0,0,0,0,0,0,0,4,4,1,4,4,28.6%,2019,16
31,Greg Joseph (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,28.6%,2019,1
3,Greg Zuerlein (NYJ),3,4,75,56,0,1,0,1,1,3,3,1,15,15,13.3%,2019,1
1,Greg Zuerlein (NYJ),3,4,75,55,0,2,0,0,1,4,4,1,15,15,13.3%,2019,7
7,Greg Zuerlein (NYJ),2,2,100,58,0,0,0,1,1,4,4,1,13,13,13.3%,2019,4
7,Greg Zuerlein (NYJ),3,4,75,47,0,0,2,1,0,2,2,1,12,12,13.3%,2019,5
6,Greg Zuerlein (NYJ),2,3,66.7,53,0,0,1,0,1,2,2,1,10,10,13.3%,2019,3
8,Greg Zuerlein (NYJ),2,3,66.7,33,0,1,1,0,0,4,4,1,10,10,13.3%,2019,13
9,Greg Zuerlein (NYJ),2,2,100,24,0,2,0,0,0,3,3,1,9,9,13.3%,2019,2
12,Greg Zuerlein (NYJ),1,2,50,52,0,0,0,0,1,4,4,1,9,9,13.3%,2019,16
17,Greg Zuerlein (NYJ),1,2,50,47,0,0,0,1,0,4,4,1,8,8,13.3%,2019,17
17,Greg Zuerlein (NYJ),2,2,100,46,0,0,1,1,0,0,0,1,7,7,13.3%,2019,12
22,Greg Zuerlein (NYJ),1,1,100,23,0,1,0,0,0,3,3,1,6,6,13.3%,2019,8
16,Greg Zuerlein (NYJ),1,1,100,38,0,0,1,0,0,2,2,1,5,5,13.3%,2019,11
22,Greg Zuerlein (NYJ),1,2,50,30,0,0,1,0,0,1,1,1,4,4,13.3%,2019,10
30,Greg Zuerlein (NYJ),0,1,0,0,0,0,0,0,0,4,4,1,4,4,13.3%,2019,14
27,Greg Zuerlein (NYJ),0,0,0,0,0,0,0,0,0,1,1,1,1,1,13.3%,2019,6
30,Greg Zuerlein (NYJ),0,0,0,0,0,0,0,0,0,1,1,1,1,1,13.3%,2019,15
1,Harrison Butker (KC),4,4,100,54,0,1,0,2,1,2,2,1,18,18,89.1%,2019,9
1,Harrison Butker (KC),4,4,100,46,0,2,1,1,0,4,4,1,17,17,89.1%,2019,1
1,Harrison Butker (KC),4,5,80,43,0,0,2,2,0,2,3,1,16,16,89.1%,2019,10
4,Harrison Butker (KC),3,3,100,48,0,0,1,2,0,2,2,1,13,13,89.1%,2019,14
5,Harrison Butker (KC),3,3,100,39,0,1,2,0,0,3,3,1,12,12,89.1%,2019,7
8,Harrison Butker (KC),2,3,66.7,44,0,1,0,1,0,4,4,1,11,11,89.1%,2019,4
5,Harrison Butker (KC),2,2,100,42,0,0,1,1,0,3,4,1,10,10,89.1%,2019,3
7,Harrison Butker (KC),1,1,100,50,0,0,0,0,1,5,5,1,10,10,89.1%,2019,13
6,Harrison Butker (KC),3,3,100,44,0,2,0,1,0,0,0,1,10,10,89.1%,2019,15
8,Harrison Butker (KC),2,2,100,56,0,0,1,0,1,2,3,1,10,10,89.1%,2019,16
19,Harrison Butker (KC),1,1,100,40,0,0,0,1,0,4,4,1,8,8,89.1%,2019,17
15,Harrison Butker (KC),2,2,100,36,0,1,1,0,0,1,1,1,7,7,89.1%,2019,5
13,Harrison Butker (KC),1,2,50,41,0,0,0,1,0,3,3,1,7,7,89.1%,2019,6
13,Harrison Butker (KC),1,1,100,41,0,0,0,1,0,3,3,1,7,7,89.1%,2019,11
21,Harrison Butker (KC),1,2,50,28,0,1,0,0,0,3,3,1,6,6,89.1%,2019,8
24,Harrison Butker (KC),0,0,0,0,0,0,0,0,0,4,4,1,4,4,89.1%,2019,2
4,Jake Elliott (PHI),3,4,75,48,0,0,1,2,0,2,2,1,13,13,27.6%,2019,13
9,Jake Elliott (PHI),2,2,100,50,0,0,1,0,1,4,4,1,12,12,27.6%,2019,17
6,Jake Elliott (PHI),2,2,100,53,0,0,0,1,1,2,2,1,10,10,27.6%,2019,6
10,Jake Elliott (PHI),3,3,100,38,0,2,1,0,0,1,2,1,10,10,27.6%,2019,9
17,Jake Elliott (PHI),2,2,100,41,0,0,1,1,0,0,0,1,7,7,27.6%,2019,2
17,Jake Elliott (PHI),1,1,100,28,0,1,0,0,0,4,4,1,7,7,27.6%,2019,5
16,Jake Elliott (PHI),1,1,100,25,0,1,0,0,0,4,4,1,7,7,27.6%,2019,15
16,Jake Elliott (PHI),1,1,100,22,0,1,0,0,0,3,3,1,6,6,27.6%,2019,1
21,Jake Elliott (PHI),1,1,100,25,0,1,0,0,0,3,3,1,6,6,27.6%,2019,3
24,Jake Elliott (PHI),1,1,100,37,0,0,1,0,0,2,3,1,5,5,27.6%,2019,8
15,Jake Elliott (PHI),1,1,100,42,0,0,0,1,0,1,1,1,5,5,27.6%,2019,11
24,Jake Elliott (PHI),1,2,50,34,0,0,1,0,0,2,2,1,5,5,27.6%,2019,14
23,Jake Elliott (PHI),1,3,33.3,36,0,0,1,0,0,2,2,1,5,5,27.6%,2019,16
24,Jake Elliott (PHI),0,0,0,0,0,0,0,0,0,4,4,1,4,4,27.6%,2019,4
22,Jake Elliott (PHI),1,1,100,38,0,0,1,0,0,1,1,1,4,4,27.6%,2019,7
26,Jake Elliott (PHI),1,1,100,28,0,1,0,0,0,0,0,1,3,3,27.6%,2019,12
5,Jason Myers (SEA),3,3,100,36,0,2,1,0,0,4,4,1,13,13,54.2%,2019,13
5,Jason Myers (SEA),2,2,100,54,0,0,0,1,1,3,3,1,12,12,54.2%,2019,8
8,Jason Myers (SEA),2,2,100,46,0,0,0,2,0,3,3,1,11,11,54.2%,2019,10
8,Jason Myers (SEA),3,4,75,35,0,0,3,0,0,1,1,1,10,10,54.2%,2019,7
13,Jason Myers (SEA),2,2,100,33,0,1,1,0,0,3,3,1,9,9,54.2%,2019,4
14,Jason Myers (SEA),2,2,100,51,0,0,1,0,1,1,1,1,9,9,54.2%,2019,16
12,Jason Myers (SEA),2,2,100,38,0,1,1,0,0,2,3,1,8,8,54.2%,2019,6
13,Jason Myers (SEA),2,4,50,37,0,1,1,0,0,2,3,1,8,8,54.2%,2019,9
20,Jason Myers (SEA),1,2,50,42,0,0,0,1,0,3,3,1,7,7,54.2%,2019,5
22,Jason Myers (SEA),2,2,100,39,0,0,2,0,0,0,1,1,6,6,54.2%,2019,14
20,Jason Myers (SEA),1,1,100,30,0,0,1,0,0,3,4,1,6,6,54.2%,2019,15
22,Jason Myers (SEA),1,1,100,24,0,1,0,0,0,2,2,1,5,5,54.2%,2019,12
26,Jason Myers (SEA),0,1,0,0,0,0,0,0,0,4,4,1,4,4,54.2%,2019,2
29,Jason Myers (SEA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,54.2%,2019,1
29,Jason Myers (SEA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,54.2%,2019,3
30,Jason Myers (SEA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,54.2%,2019,17
1,Jason Sanders (MIA),7,8,87.5,53,0,3,2,1,1,0,0,1,24,24,13.7%,2019,14
3,Jason Sanders (MIA),1,1,100,51,0,0,0,0,1,2,3,1,13.6,13.6,13.7%,2019,13
4,Jason Sanders (MIA),3,3,100,48,0,0,0,3,0,1,1,1,13,13,13.7%,2019,10
11,Jason Sanders (MIA),2,3,66.7,47,0,1,0,1,0,2,2,1,9,9,13.7%,2019,15
15,Jason Sanders (MIA),2,2,100,32,0,1,1,0,0,3,3,1,9,9,13.7%,2019,17
17,Jason Sanders (MIA),1,2,50,37,0,0,1,0,0,5,5,1,8,8,13.7%,2019,16
18,Jason Sanders (MIA),1,1,100,54,0,0,0,0,1,1,1,1,6,6,13.7%,2019,1
20,Jason Sanders (MIA),2,3,66.7,33,0,1,1,0,0,0,0,1,6,6,13.7%,2019,3
18,Jason Sanders (MIA),1,2,50,26,0,1,0,0,0,3,3,1,6,6,13.7%,2019,9
18,Jason Sanders (MIA),1,1,100,36,0,0,1,0,0,3,3,1,6,6,13.7%,2019,12
21,Jason Sanders (MIA),1,3,33.3,30,0,0,1,0,0,1,1,1,4,4,13.7%,2019,4
23,Jason Sanders (MIA),1,1,100,39,0,0,1,0,0,1,1,1,4,4,13.7%,2019,6
24,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,13.7%,2019,7
27,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,2,2,1,2,2,13.7%,2019,8
24,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,2,2,1,2,2,13.7%,2019,11
32,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.7%,2019,2
1,Joey Slye (WAS),4,4,100,54,0,0,2,0,2,0,0,1,16,16,1.9%,2019,2
6,Joey Slye (WAS),3,3,100,55,0,1,0,1,1,1,1,1,13,13,1.9%,2019,4
7,Joey Slye (WAS),2,3,66.7,52,0,0,0,1,1,3,3,1,12,12,1.9%,2019,1
