Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
172,Gunner Olszewski (PIT),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2022,6
179,KaVontae Turpin (DAL),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2022,6
180,Miles Boykin (PIT),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
182,Scotty Miller (TB),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2022,6
184,Quinton Bell (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
185,Juwann Winfree (GB),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
192,Greg Dortch (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.7%,2022,6
215,Tanner Conner (MIA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
220,Britain Covey (PHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
222,Terrace Marshall Jr. (CAR),0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.7%,2022,6
232,Mike Strachan (IND),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
270,Jaelon Darden (CLE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
318,Zach Pascal (PHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2022,6
321,River Cracraft (MIA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
329,Justin Hardee (NYJ),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
337,Kevin White (NO),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,6
341,Breshad Perriman (TB),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2022,6
346,Ihmir Smith-Marsette (KC),0,1,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%,2022,6
347,Steven Sims Jr. (PIT),0,0,0,0,0,0,0,1,-5,0,0,1,-0.5,-0.5,0.3%,2022,6
348,Montrell Washington (DEN),1,1,0,0,0,0,0,0,0,0,1,1,-1.5,-1.5,0.2%,2022,6
349,Chester Rogers (FA),0,0,0,0,0,0,0,0,0,0,1,1,-2,-2,0.0%,2022,6
350,Trent Taylor (CIN),0,0,0,0,0,0,0,0,0,0,1,1,-2,-2,0.1%,2022,6
