Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
85,Curtis Samuel (WAS),2,4,13,6.5,11,0,0,0,0,0,0,1,3.3,3.3,6.5%,2019,17
107,Cyril Grayson Jr. (TB),1,1,3,3,3,0,0,0,0,0,0,1,1.3,1.3,0.1%,2019,17
416,Cyril Grayson Jr. (TB),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,16
4,D.J. Chark Jr. (DET),8,11,164,20.5,37,4,2,0,0,0,0,1,36.4,36.4,64.9%,2019,5
2,D.J. Chark Jr. (DET),8,15,104,13,34,2,2,0,0,0,0,1,30.4,30.4,64.9%,2019,11
11,D.J. Chark Jr. (DET),4,4,146,36.5,69,3,1,0,0,0,0,1,24.6,24.6,64.9%,2019,1
10,D.J. Chark Jr. (DET),6,12,79,13.2,29,1,1,1,0,0,0,1,19.9,19.9,64.9%,2019,8
13,D.J. Chark Jr. (DET),7,9,55,7.9,14,0,1,0,0,0,0,1,18.5,18.5,64.9%,2019,2
20,D.J. Chark Jr. (DET),4,5,76,19,37,2,1,0,0,0,0,1,17.6,17.6,64.9%,2019,3
20,D.J. Chark Jr. (DET),9,10,75,8.3,22,1,0,0,0,0,0,1,16.5,16.5,64.9%,2019,14
32,D.J. Chark Jr. (DET),5,6,38,7.6,12,0,0,0,0,0,0,1,10.8,10.8,64.9%,2019,12
35,D.J. Chark Jr. (DET),3,5,53,17.7,33,1,0,1,20,0,0,1,10.3,10.3,64.9%,2019,7
43,D.J. Chark Jr. (DET),4,8,44,11,24,1,0,0,0,0,0,1,8.4,8.4,64.9%,2019,4
53,D.J. Chark Jr. (DET),4,5,34,8.5,19,0,0,0,0,0,0,1,7.4,7.4,64.9%,2019,17
45,D.J. Chark Jr. (DET),3,7,43,14.3,22,1,0,0,0,0,0,1,7.3,7.3,64.9%,2019,6
57,D.J. Chark Jr. (DET),4,9,32,8,16,0,0,0,0,0,0,1,7.2,7.2,64.9%,2019,9
62,D.J. Chark Jr. (DET),2,5,47,23.5,30,1,0,0,0,0,0,1,6.7,6.7,64.9%,2019,13
75,D.J. Chark Jr. (DET),2,7,18,9,17,0,0,0,0,0,0,1,3.8,3.8,64.9%,2019,16
87,Da'Mari Scott (FA),1,1,11,11,11,0,0,1,5,0,0,1,2.6,2.6,0.0%,2019,16
94,Da'Mari Scott (FA),1,2,11,11,11,0,0,0,0,0,0,1,2.1,2.1,0.0%,2019,13
220,Da'Mari Scott (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
225,Da'Mari Scott (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,15
222,Da'Mari Scott (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,17
13,DaeSean Hamilton (HOU),6,6,65,10.8,20,1,1,0,0,0,0,1,18.5,18.5,0.6%,2019,16
35,DaeSean Hamilton (HOU),5,6,65,13,17,0,0,0,0,0,0,1,11.5,11.5,0.6%,2019,17
41,DaeSean Hamilton (HOU),3,5,57,19,28,2,0,0,0,0,0,1,8.7,8.7,0.6%,2019,4
71,DaeSean Hamilton (HOU),2,4,36,18,27,1,0,0,0,0,0,1,5.6,5.6,0.6%,2019,14
67,DaeSean Hamilton (HOU),2,2,25,12.5,13,0,0,0,0,0,0,1,4.5,4.5,0.6%,2019,6
87,DaeSean Hamilton (HOU),2,6,15,7.5,9,0,0,0,0,0,0,1,3.5,3.5,0.6%,2019,2
82,DaeSean Hamilton (HOU),2,9,13,6.5,9,0,0,0,0,0,0,1,3.3,3.3,0.6%,2019,15
88,DaeSean Hamilton (HOU),2,3,12,6,7,0,0,0,0,0,0,1,3.2,3.2,0.6%,2019,13
96,DaeSean Hamilton (HOU),2,4,5,2.5,7,0,0,0,0,0,0,1,2.5,2.5,0.6%,2019,1
85,DaeSean Hamilton (HOU),2,5,4,2,4,0,0,0,0,0,0,1,2.4,2.4,0.6%,2019,7
214,DaeSean Hamilton (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2019,3
239,DaeSean Hamilton (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2019,5
204,DaeSean Hamilton (HOU),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2019,8
204,DaeSean Hamilton (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2019,9
203,DaeSean Hamilton (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2019,11
197,DaeSean Hamilton (HOU),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6%,2019,12
15,Damiere Byrd (ATL),7,8,74,10.6,33,1,1,0,0,0,1,1,18.4,18.4,0.2%,2019,17
28,Damiere Byrd (ATL),6,6,86,14.3,51,1,0,0,0,0,0,1,14.6,14.6,0.2%,2019,15
47,Damiere Byrd (ATL),6,7,45,7.5,13,0,0,0,0,0,0,1,10.5,10.5,0.2%,2019,2
62,Damiere Byrd (ATL),4,7,42,10.5,19,0,0,0,0,0,0,1,8.2,8.2,0.2%,2019,1
40,Damiere Byrd (ATL),2,2,60,30,58,1,0,0,0,0,0,1,8,8,0.2%,2019,6
79,Damiere Byrd (ATL),2,5,18,9,9,0,0,0,0,0,0,1,3.8,3.8,0.2%,2019,8
94,Damiere Byrd (ATL),2,4,9,4.5,11,0,0,0,0,0,0,1,2.9,2.9,0.2%,2019,3
94,Damiere Byrd (ATL),1,1,11,11,11,0,0,0,0,0,0,1,2.1,2.1,0.2%,2019,16
102,Damiere Byrd (ATL),1,1,10,10,10,0,0,0,0,0,0,1,2,2,0.2%,2019,14
95,Damiere Byrd (ATL),1,2,4,4,4,0,0,0,0,0,0,1,1.4,1.4,0.2%,2019,7
435,Damiere Byrd (ATL),0,3,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,13
27,Damion Ratley (FA),2,3,64,32,46,1,1,0,0,0,0,1,14.4,14.4,0.0%,2019,17
65,Damion Ratley (FA),2,3,50,25,29,2,0,0,0,0,0,1,7,7,0.0%,2019,2
73,Damion Ratley (FA),3,5,26,8.7,16,0,0,0,0,0,0,1,5.6,5.6,0.0%,2019,3
69,Damion Ratley (FA),2,2,33,16.5,21,1,0,0,0,0,0,1,5.3,5.3,0.0%,2019,15
87,Damion Ratley (FA),2,2,17,8.5,10,0,0,0,0,0,0,1,3.7,3.7,0.0%,2019,1
93,Damion Ratley (FA),1,3,10,10,10,0,0,0,0,0,0,1,2,2,0.0%,2019,4
203,Damion Ratley (FA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,5
200,Damion Ratley (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,10
205,Damion Ratley (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,11
