Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
203,Donte Moncrief (FA),1,2,15,15,15,0,0,1,4,0,0,6,2.4,0.4,0.0%,2020
204,Bennie Fowler III (FA),2,6,11,5.5,7,0,0,0,0,0,0,5,2.1,0.4,0.0%,2020
205,Jaleel Scott (FA),1,1,16,16,16,0,0,0,0,0,0,1,2.1,2.1,0.0%,2020
206,James Proche II (BAL),1,3,14,14,14,0,0,0,0,0,0,14,1.9,0.1,0.1%,2020
207,Vyncint Smith (IND),1,3,13,13,13,0,0,0,0,0,0,7,1.8,0.3,0.0%,2020
208,Keith Kirkwood (NO),1,2,13,13,13,0,0,0,0,0,0,1,1.8,1.8,0.0%,2020
209,Cody Hollister (TEN),1,1,12,12,12,0,0,0,0,0,0,2,1.7,0.9,0.0%,2020
210,Marcus Kemp (KC),1,1,11,11,11,0,0,0,0,0,0,10,1.6,0.2,0.0%,2020
211,Gehrig Dieter (FA),1,2,10,10,10,0,0,0,0,0,0,4,1.5,0.4,0.0%,2020
212,Andre Roberts (CAR),4,5,34,8.5,16,0,0,1,-3,0,2,15,1.1,0.1,0.0%,2020
213,Trenton Irwin (CIN),1,2,5,5,5,0,0,0,0,0,0,1,1,1,0.7%,2020
214,JoJo Natson (FA),0,0,0,0,0,0,0,1,3,0,0,3,0.3,0.1,0.0%,2020
215,Chris Rowland (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2020
216,Kristian Wilkerson (NE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
217,Matt Cole (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
218,Dan Chisena (MIN),0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.0%,2020
219,Hakeem Butler (FA),0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2020
220,Malik Turner (HOU),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0%,2020
221,Rico Gafford (FA),0,2,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2020
222,Keelan Doss (LAC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
223,Reggie Begelton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
224,Isaiah Coulter (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
225,Kirk Merritt (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
226,Dezmon Patmon (IND),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
227,K.J. Osborn (MIN),0,0,0,0,0,0,0,0,0,0,0,9,0,0,9.5%,2020
228,Quinton Bell (ATL),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0%,2020
229,Juwann Winfree (GB),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2020
230,Stanley Morgan Jr. (CIN),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0%,2020
231,Jason Moore Jr. (LAC),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2020
232,Alex Bachman (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
233,Tony Brown (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
234,Jordan Matthews (SF),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2020
235,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.0%,2020
236,Marken Michel (WAS),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2020
237,Taywan Taylor (FA),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2020
238,Duke Williams (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
239,Johnny Holton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
240,Chris Moore (HOU),0,0,0,0,0,0,0,0,0,0,0,3,0,0,12.4%,2020
241,Fred Brown (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
242,Cyril Grayson Jr. (FA),0,3,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2020
243,Deante Burton (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2020
244,Derrick Willies (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
245,Jeff Badet (FA),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2020
246,Trey Quinn (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
247,Deon Cain (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2020
248,Justin Hardee (NYJ),0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0%,2020
249,Tajae Sharpe (FA),0,3,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2020
250,Kevin White (NO),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2020
251,Ty Montgomery (NE),3,6,27,9,17,0,0,19,101,0,0,6,0,0,0.5%,2020
252,DeAndre Carter (LAC),1,2,8,8,8,0,0,0,0,0,1,13,-0.7,-0.1,12.3%,2020
253,Kendall Hinton (DEN),0,0,0,0,0,0,0,2,7,0,0,1,-0.8,-0.8,3.8%,2020
254,Dede Westbrook (FA),1,1,4,4,4,0,0,0,0,0,1,2,-1.1,-0.6,0.0%,2020
255,Nsimba Webster (CHI),0,0,0,0,0,0,0,0,0,0,1,16,-2,-0.1,0.0%,2020
256,Dwayne Harris (FA),0,0,0,0,0,0,0,0,0,0,1,3,-2,-0.7,0.0%,2020
