Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
NA,380,RB,Ameer Abdullah (LV),RB87,Depth,0,1.819,0,0,1.492,5,7.459
NA,384,RB,David Johnson (NO),RB88,Depth,-3.048,4.289,16.454,9.353,1.356,5,6.782
NA,385,RB,Ty'Son Williams (ARI),RB89,Depth,0,1.638,0,0,1.343,5,6.716
NA,386,RB,Joshua Kelley (LAC),RB90,Depth,2.79,-2.773,2.905,0,1.339,5,6.693
NA,387,RB,Chris Evans (CIN),RB91,Depth,0,1.622,0,0,1.33,5,6.652
NA,388,RB,Royce Freeman (HOU),RB92,Depth,2.043,-1.794,0,8.276,1.323,5,6.614
NA,393,RB,Ty Johnson (NYJ),RB93,Depth,-0.188,5.159,0.991,-0.231,1.265,5,6.323
NA,399,RB,Jeremy McNichols (PIT),RB94,Depth,0,2.802,-2.062,0,1.158,5,5.792
NA,400,RB,Jermar Jefferson (DET),RB95,Depth,0,1.402,0,0,1.149,5,5.746
NA,402,RB,Trey Sermon (PHI),RB96,Depth,0,1.172,0,0,0.961,5,4.807
NA,406,RB,Kyle Juszczyk (SF),RB97,Depth,0,1.113,0,0,0.913,5,4.565
NA,409,RB,Jordan Wilkins (FA),RB98,Depth,0.778,0,0.039,-0.657,0.584,5,2.92
NA,410,RB,Justin Jackson (DET),RB99,Depth,-0.847,2.287,4.6,0.73,0.56,5,2.799
NA,417,RB,Malcolm Brown (LAR),RB100,Depth,0,-0.705,3.593,0.303,0.406,5,2.032
NA,418,RB,Marlon Mack (DEN),RB101,Depth,0,-2.208,0,13.508,0.338,5,1.689
NA,422,RB,Austin Walter (LV),RB102,Depth,0,0.279,0,0,0.229,5,1.146
NA,428,RB,Matt Breida (NYG),RB103,Depth,-1.377,2.404,-0.713,5.574,-0.018,5,-0.09
NA,431,RB,DeeJay Dallas (SEA),RB104,Depth,-0.228,0,0.906,0,-0.066,5,-0.331
NA,433,RB,J.J. Taylor (NE),RB105,Depth,0,-0.275,0,0,-0.226,5,-1.128
NA,434,RB,Jaret Patterson (WAS),RB106,Depth,0,-0.3,0,0,-0.246,5,-1.23
NA,438,RB,Caleb Huntley (ATL),RB107,Depth,-0.518,0,0,0,-0.518,5,-2.589
NA,441,RB,Darrynton Evans (CHI),RB108,Depth,-0.678,0,0,0,-0.678,5,-3.39
NA,442,RB,Qadree Ollison (DAL),RB109,Depth,0,-0.849,0,0,-0.696,5,-3.482
NA,443,RB,Kyren Williams (LAR),RB110,Depth,-0.7,0,0,0,-0.7,5,-3.499
NA,444,RB,Patrick Taylor Jr. (GB),RB111,Depth,0,-0.902,0,0,-0.74,5,-3.698
NA,445,RB,Jonathan Williams (WAS),RB112,Depth,-1.222,-0.065,0,0.883,-0.783,5,-3.917
NA,447,RB,Tony Jones Jr. (SEA),RB113,Depth,-0.175,-2.513,0,0,-0.863,5,-4.314
NA,448,RB,Mike Boone (DEN),RB114,Depth,-0.867,0,0,0,-0.867,5,-4.335
NA,452,RB,Dare Ogunbowale (HOU),RB115,Depth,-1.796,-0.346,-2.497,1.069,-1.36,5,-6.802
NA,457,RB,Larry Rountree III (LAC),RB116,Depth,-1.879,0,0,0,-1.879,5,-9.394
NA,462,RB,Tyrion Davis-Price (SF),RB117,Depth,-2.997,0,0,0,-2.997,5,-14.984
