Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
NA,433,RB,DeeJay Dallas (SEA),RB108,Depth,-1.145,0,-0.164,0,-1.005,5,-5.025
NA,436,RB,Jordan Wilkins (FA),RB109,Depth,-1.291,0,-0.914,-0.883,-1.213,5,-6.066
NA,438,RB,Qadree Ollison (DAL),RB110,Depth,0,-1.594,0,0,-1.307,5,-6.534
NA,440,RB,Kyren Williams (LAR),RB111,Depth,-1.409,0,0,0,-1.409,5,-7.044
NA,445,RB,Mike Boone (DEN),RB112,Depth,-1.685,0,0,0,-1.685,5,-8.423
NA,446,RB,Jonathan Williams (WAS),RB113,Depth,-2.22,-0.907,0,0.362,-1.712,5,-8.561
NA,450,RB,Tony Jones Jr. (SEA),RB114,Depth,-1.641,-2.745,0,0,-1.966,5,-9.83
NA,453,RB,Dare Ogunbowale (HOU),RB115,Depth,-2.501,-1.006,-3.223,-0.714,-2.11,5,-10.549
NA,454,RB,Larry Rountree III (LAC),RB116,Depth,-2.118,0,0,0,-2.118,5,-10.591
NA,461,RB,Tyrion Davis-Price (SF),RB117,Depth,-2.997,0,0,0,-2.997,5,-14.984
