Pos,Player,Score2022,Score2021,Score2020,Score2019,Score
WR,Brandin Cooks (HOU),5.277680315186888,10.201180192766378,10.847976693048539,3.15062831565237,6.9592323223912
WR,Isaiah Hodgins (NYG),6.594505825594242,0,0,0,6.594505825594242
WR,Curtis Samuel (WAS),5.9408959651580995,0,9.80897881305706,6.2941144472815775,6.480071081540667
WR,Allen Lazard (GB),7.548861383689939,5.727803072962622,4.630466783943112,0.907966074926527,6.469712580595257
WR,Jerry Jeudy (DEN),7.986137861152499,3.127161559447077,5.616834537340275,0,6.458253556176376
WR,Christian Watson (GB),6.2945530905436335,0,0,0,6.2945530905436335
WR,Jahan Dotson (WAS),6.250039711992763,0,0,0,6.250039711992763
WR,Tyler Boyd (CIN),5.266781352091945,6.731088008993947,8.143503988890505,9.435857574654635,6.128984091125436
WR,Gabe Davis (BUF),7.3294552113948335,3.4635494002177203,4.101930997426613,0,5.972477092743282
WR,Sterling Shepard (NYG),5.324072280641476,5.5933957341306595,8.644639165577027,9.456545048970984,5.930083470923802
WR,Robert Woods (TEN),1.516978731959463,12.102559969862805,11.355201405240276,11.860396875715992,5.664367215951206
WR,DJ Chark Jr. (DET),4.693789274986943,6.049970810088677,7.312568842257071,10.62169077984753,5.591107690732419
WR,Darnell Mooney (CHI),4.24060503334446,9.034199168211174,4.160998610882793,0,5.4934170939426785
WR,Courtland Sutton (DEN),5.7342159641547275,3.343277265567644,0,10.000807215244581,5.306809008122722
WR,JuJu Smith-Schuster (KC),6.141186277736182,1.3237982776394424,10.57184079918055,4.436039349731484,5.294647383456199
WR,Mecole Hardman (KC),6.650233176707053,2.777925441392406,2.8021161270507964,2.696026831298503,5.099634220642338
WR,Zay Jones (JAC),6.975066554026381,1.5005181751845789,0,-2.4852742272078734,4.929188101025628
WR,Cole Beasley (BUF),0,4.041659165650549,9.373262664101487,8.26053245040711,4.83957374470344
WR,Russell Gage (TB),3.4799161249891455,7.8003287518767355,6.716930606913154,0.5566751550760487,4.737558681407789
WR,Drake London (ATL),4.706834005697917,0,0,0,4.706834005697917
WR,Donovan Peoples-Jones (CLE),5.493530517740126,2.689984432370813,0,0,4.669007614033011
WR,Allen Robinson II (LAR),3.626238064175674,2.0676828674394416,13.174401820932909,12.36721708573568,4.62846459174534
WR,Rondale Moore (ARI),5.708396396176211,1.8014856639415484,0,0,4.559373949825997
WR,Cedrick Wilson Jr. (MIA),0,5.4539298742985824,0,0,4.472222496924838
WR,George Pickens (PIT),4.418365713391186,0,0,0,4.418365713391186
WR,Marvin Jones Jr. (JAC),2.646621724099658,5.560838251335623,9.16996861077298,10.122009880827157,4.401279952412357
WR,Corey Davis (NYJ),2.6247459514411253,7.059731245926552,9.433304206071167,1.8804808923953769,4.377134847573198
WR,K.J. Osborn (MIN),3.835693200856245,4.615903614417739,0,0,4.06515308348468
WR,Mack Hollins (LV),3.997985128221193,0,0,0,3.997985128221193
WR,Michael Gallup (DAL),2.3932929782594137,5.4127485381840525,5.884221330345721,11.403543728851579,3.9477622409788125
WR,Nico Collins (HOU),5.354414399195191,0.4447191980341888,0,0,3.9104730405337405
WR,Van Jefferson (LAR),3.170727360716614,5.396351121005948,0,0,3.8252833086177067
WR,Treylon Burks (TEN),3.7029746022305075,0,0,0,3.7029746022305075
WR,Rashod Bateman (BAL),3.7868892800357616,3.4520814142200607,0,0,3.688422286699364
WR,Richie James Jr. (NYG),4.2664107582296245,0,0.15723638137679863,0,3.6792097397773555
WR,Rashid Shaheed (NO),3.6387201285180217,0,0,0,3.6387201285180217
WR,DeVante Parker (NE),1.4327650904925249,5.4716341130540265,7.372145875106731,12.090989557001759,3.5693316479197827
WR,Hunter Renfrow (LV),0.2523346324494502,11.582900008658541,2.352008289894592,5.162764749449424,3.5404648480962355
WR,Tim Patrick (DEN),0,4.689181028952161,6.0185005894975685,-1.0290758743668382,3.531517621062383
WR,Joshua Palmer (LAC),4.604685588205785,0.7481382572523246,0,0,3.4704750181723725
WR,Kenny Golladay (NYG),0,0.9765525544707971,8.205915612189479,12.55562352770137,3.469647296254517
WR,Darius Slayton (NYG),4.3331749913717275,0.2416815100839762,3.6571376795511243,7.468872729489011,3.3994827767735933
WR,Jarvis Landry (NO),0.9484243905355795,5.947912860631469,8.006881940872855,10.787562552649604,3.3960991711989807
WR,Julio Jones (TB),1.5186707930929746,2.3231989759217466,11.419528866769522,14.709179061377192,3.3694140595820334
WR,T.Y. Hilton (DAL),2.977952843427035,2.322867790171418,5.875716475696967,7.525119946735637,3.3313162985055538
WR,Chase Claypool (CHI),0.767618047484323,6.870476455929589,8.738953856214973,0,3.2126617554056103
WR,Wan'Dale Robinson (NYG),2.895734230726475,0,0,0,2.895734230726475
WR,Josh Reynolds (DET),3.6428631012555908,2.136628222258434,2.2580802567014127,-1.8590265765980676,2.8527316131582006
WR,Trenton Irwin (CIN),2.7395569508796522,0,0,0,2.7395569508796522
WR,Marquez Valdes-Scantling (KC),2.3551431211525444,3.155781925794537,4.39077762521977,-0.15688377613369675,2.633264927855453
WR,Romeo Doubs (GB),2.6089870017265695,0,0,0,2.6089870017265695
WR,Quintez Cephus (DET),0,4.438637095649998,-0.47803750607773243,0,2.4878333927878358
WR,Elijah Moore (NYJ),-0.13408768571806728,8.400208392949452,0,0,2.3758487910180497
WR,Deonte Harty (NO),0,4.152614819742929,-0.399106645794778,0,2.338794157571821
WR,Byron Pringle (CHI),0,2.771189355051658,0,0,2.2723752711423595
WR,Chris Moore (HOU),2.1228026503225594,0,0,0,2.1228026503225594
WR,Dante Pettis (CHI),0,2.525901066967367,0,0,2.0712388749132407
WR,Randall Cobb (GB),0.7066109793132436,3.1269669891157306,5.529018076988281,5.20410192056556,2.0188152385939846
WR,Parris Campbell (IND),2.972594881406971,0.0923165009696571,0,-0.1976797720656205,1.9965033040537565
WR,Devin Duvernay (BAL),3.0004096140064744,-0.9518622940708036,0,0,1.8380464458409467
WR,Tyquan Thornton (NE),1.710289078534306,0,0,0,1.710289078534306
WR,Isaiah McKenzie (BUF),1.8895506876454102,0,0,-1.7360020683054558,1.6107456807127887
WR,Alec Pierce (IND),1.5769955049310371,0,0,0,1.5769955049310371
WR,Antoine Wesley (ARI),0,1.8155653772380456,0,0,1.4887636093351972
WR,Braxton Berrios (NYJ),0,2.216911025716403,0.47852331365567125,0,1.4106079982321347
WR,Kendrick Bourne (NE),-0.7214249493389262,5.839587571707716,3.489357117005367,0.6355359228429522,1.4077544311662575
WR,Kalif Raymond (DET),0.7476512853679529,2.977283372957733,0,0,1.4033860823281072
WR,Laviska Shenault Jr. (CAR),-0.028990889171118583,2.429344324853328,6.40194119372631,0,1.2949742539678128
WR,Robbie Anderson (ARI),-1.399331212662799,3.3020365775940275,9.924590227092304,5.321157363238203,1.244427307671968
WR,Keelan Cole Sr. (LV),0,0.24141449077759725,4.66804263107425,0,1.2350037633774877
WR,Zach Pascal (PHI),0,0.31247587536748567,3.2963594122985267,3.6342923955851525,1.2084125361945124
WR,Greg Dortch (ARI),1.2033928014209563,0,0,0,1.2033928014209563
WR,Tre'Quan Smith (NO),0.04195261174948559,3.373477470328997,1.7587119913622713,0,1.0992515647149814
WR,Jamal Agnew (JAC),0,1.2731051709094483,0,0,1.0439462401457476
WR,Jamison Crowder (BUF),-2.1542947513465616,3.4548463557399716,10.302154508667503,7.716633369609983,0.9871818574743054
WR,Kadarius Toney (KC),-0.10333077837511198,3.0735366454847735,0,0,0.8309859309820803
WR,Nelson Agholor (NE),-0.6326301485227991,1.14630052580114,7.600063820680694,3.2691824912912093,0.8304625489692354
WR,Noah Brown (DAL),2.0885413981480627,-2.4068455903348145,0,0,0.7664480848352486
WR,Rashard Higgins (CAR),0,-0.6116991116820483,4.630209410954991,0,0.72644960565299
WR,Marquise Goodwin (SEA),1.5985492246557471,-1.5384824717423062,0,0,0.6759482027450796
WR,DeAndre Carter (LAC),0.8666128853398916,0.040447924114299205,0,0,0.6236377702434448
WR,Jalen Guyton (LAC),0,0.6163609106989709,0.8191624070863162,0,0.552927064537805
WR,Nick Westbrook-Ikhine (TEN),-0.02958178592362981,1.7957910705159108,0,0,0.507260371155239
WR,Demarcus Robinson (BAL),0.7155903219779111,-1.1222169209687451,1.5944573681183174,0.6358200704315371,0.3400367032779689
WR,Damiere Byrd (ATL),0,-0.09995041292320728,1.5804904684073304,0.5179652351000092,0.32586739599810993
WR,Preston Williams (CAR),0,-2.715314036395679,4.874449146914077,6.495849131122001,0.2734881674046053
WR,Chris Conley (TEN),0,-0.900438959420529,0.8139085117906422,5.5297627944146805,0.2721769646415653
WR,Anthony Miller (PIT),0,-0.47298287915628234,1.0314996444837412,2.646326723678883,0.24030219072865774
WR,Ben Skowronek (LAR),0.2402176116172534,0,0,0,0.2402176116172534
WR,A.J. Green (ARI),-2.154483900930297,5.284116595979154,1.9459346772705017,0,0.23438596609112372
WR,Sammy Watkins (BAL),-0.9710395588993568,0.7075760630984562,3.607722645641044,3.929125633380026,0.1514988266681057
WR,Jauan Jennings (SF),-0.30375425445967186,1.0579759304815588,0,0,0.0967305929315441
WR,Marquez Callaway (NO),-1.6790085370805274,4.29800954307747,0,0,0.07883248029393952
WR,Olamide Zaccheaus (ATL),-0.00510063225947599,0.27633601343768155,-0.4258197626183722,0,0.024643624796654377
WR,Jalen Reagor (MIN),0,-0.958083941490881,2.3937563350281437,0,-3.7980308130447504e-4
WR,Dez Fitzpatrick (TEN),0,-0.25300388347398123,0,0,-0.2074631844486646
WR,Quez Watkins (PHI),-0.7886266376981795,1.1017283153388735,0,0,-0.23267324600998224
WR,Freddie Swain (DEN),0,-0.3184972105674192,0,0,-0.2611677126652837
WR,Terrace Marshall Jr. (CAR),0.8953841877775561,-3.210313294833345,0,0,-0.3121014418583098
WR,Trent Sherfield (MIA),-0.42475977273415855,0,0,0,-0.42475977273415855
WR,KJ Hamler (DEN),0,-1.342762923354757,1.3889154420768846,0,-0.4611043797677684
WR,Albert Wilson (LV),0,-0.9703425496075124,0,1.1488426424039766,-0.5060009900413417
WR,James Proche II (BAL),0,-0.620186756756962,0,0,-0.5085531405407088
WR,Samori Toure (GB),-0.549864239362746,0,0,0,-0.549864239362746
WR,Breshad Perriman (TB),-2.405089183981205,0.6597031959100258,3.3273163780715063,5.0378367406046225,-0.6935042365738349
WR,Shi Smith (CAR),-0.751094667867556,0,0,0,-0.751094667867556
WR,Tutu Atwell (LAR),-0.7954734951684548,0,0,0,-0.7954734951684548
WR,Laquon Treadwell (SEA),-2.0254515097688706,1.4558512960067775,0,0,-1.0016003545902525
WR,Brandon Johnson (DEN),-1.010197139779711,0,0,0,-1.010197139779711
WR,Tyler Johnson (TB),0,-1.4015537512259582,0,0,-1.1492740760052855
WR,Kendall Hinton (DEN),-1.2591590284200973,0,0,0,-1.2591590284200973
WR,Marcus Johnson (NYG),0,-2.032176839486914,-2.034787814191896,0.9407810280404008,-1.3621920767722409
WR,Equanimeous St. Brown (CHI),-1.412236553297101,0,0,0,-1.412236553297101
WR,Ray-Ray McCloud III (SF),0,-1.9386155060102293,0,0,-1.5896647149283878
WR,Dee Eskridge (SEA),0,-2.0092274786764786,0,0,-1.6475665325147124
WR,Scotty Miller (TB),-2.2006332632084455,0,1.0730326486007493,-1.5364355155345886,-1.7199516073944339
WR,Phillip Dorsett II (HOU),-2.185568635457596,-2.038518569070068,0,2.020658484375658,-1.911272521864395
WR,Denzel Mims (NYJ),-2.625015683580001,0,1.6098411919233495,0,-2.0198546360705723
WR,Trinity Benson (DET),0,-2.538773406473834,0,0,-2.0817941933085438
WR,Kyle Philips (TEN),-2.177540818297394,0,0,0,-2.177540818297394
WR,Collin Johnson (NYG),0,-2.7633990589386324,0,0,-2.2659872283296782
WR,Steven Sims Jr. (PIT),-2.841243219087656,0,-1.2644793137361572,1.6434664629499962,-2.3319304547123902
WR,Racey McMath (TEN),-2.4020993424542016,0,0,0,-2.4020993424542016
WR,Dyami Brown (WAS),0,-3.0741676803786264,0,0,-2.5208174979104734
WR,Juwann Winfree (GB),0,-3.1660523043732614,0,0,-2.596162889586074
WR,Michael Bandy (LAC),-3.367700897644477,0,0,0,-3.367700897644477
