Player,FPMD,NFLMD1,NFLMD2,NFLMD3
Drew Lock (SEA),NA,NA,NA,NA
Austin Seibert (DET),NA,NA,NA,NA
Mike White (NYJ),NA,NA,NA,NA
Ka'imi Fairbairn (HOU),NA,NA,NA,NA
Jerick McKinnon (KC),NA,NA,NA,10
Matthew Wright (FA),NA,NA,NA,NA
Antoine Wesley (ARI),NA,NA,NA,NA
Nick Westbrook-Ikhine (TEN),NA,NA,NA,NA
Chris Carson (FA),NA,NA,15,NA
Rob Gronkowski (FA),NA,NA,NA,NA
Los Angeles Chargers (LAC),NA,NA,NA,NA
Laquon Treadwell (JAC),NA,NA,NA,NA
C.J. Beathard (JAC),NA,NA,NA,NA
Chris Conley (HOU),NA,NA,NA,NA
Rashard Higgins (CAR),NA,NA,NA,NA
Zach Pascal (PHI),NA,NA,NA,NA
Houston Texans (HOU),NA,NA,NA,NA
Darius Slayton (NYG),NA,NA,NA,NA
Samaje Perine (CIN),NA,NA,NA,NA
Jake Luton (JAC),NA,NA,NA,NA
Tevin Coleman (NYJ),NA,NA,NA,NA
Justin Jackson (DET),NA,NA,NA,NA
Malcolm Brown (NO),NA,NA,NA,NA
Brandon Allen (CIN),NA,NA,NA,NA
Braxton Berrios (NYJ),NA,NA,NA,NA
Ben Roethlisberger (FA),NA,NA,NA,NA
Jeremy McNichols (PIT),NA,NA,NA,NA
Chase McLaughlin (FA),NA,NA,NA,NA
Ke'Shawn Vaughn (TB),NA,NA,NA,NA
Denzel Mims (NYJ),NA,NA,NA,NA
Demarcus Robinson (LV),NA,NA,NA,NA
Damiere Byrd (ATL),NA,NA,NA,NA
New York Jets (NYJ),NA,NA,NA,NA
Lirim Hajrullahu (DAL),NA,NA,NA,NA
Mike Glennon (FA),NA,NA,NA,NA
Elliott Fry (JAC),NA,NA,NA,NA
Joshua Kelley (LAC),NA,NA,NA,NA
Matt Ammendola (FA),NA,NA,NA,NA
Sergio Castillo (NYJ),NA,NA,NA,NA
Brian Johnson (FA),NA,NA,NA,NA
Trey Sermon (SF),NA,NA,NA,NA
Jacksonville Jaguars (JAC),14,NA,NA,NA
Atlanta Falcons (ATL),NA,NA,NA,NA
Cam Newton (FA),NA,NA,NA,NA
N'Keal Harry (CHI),NA,NA,NA,NA
Nico Collins (HOU),NA,NA,NA,NA
La'Mical Perine (NYJ),NA,NA,NA,NA
Ameer Abdullah (LV),NA,NA,NA,NA
Jakeem Grant Sr. (CLE),NA,NA,NA,NA
Tristan Vizcaino (NE),15,NA,NA,NA
Aldrick Rosas (FA),NA,NA,NA,NA
Anthony Miller (PIT),NA,NA,NA,NA
Las Vegas Raiders (LV),NA,NA,NA,NA
Salvon Ahmed (MIA),NA,NA,NA,NA
Lynn Bowden Jr. (MIA),NA,NA,NA,NA
Brian Hill (SF),NA,NA,NA,NA
Khalil Herbert (CHI),NA,NA,NA,NA
Detroit Lions (DET),NA,NA,NA,NA
Albert Wilson (MIN),NA,NA,NA,NA
Ryan Santoso (JAC),NA,NA,NA,NA
Benny Snell Jr. (PIT),NA,NA,NA,NA
Josh Lambo (FA),NA,NA,NA,NA
Austin Walter (LV),NA,NA,NA,NA
Jordan Wilkins (TEN),NA,NA,NA,NA
Cameron Nizialek (PIT),NA,NA,NA,NA
Michael Palardy (FA),NA,NA,NA,NA
