Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
271,Nick Bellore (SEA),1,5,5,5,0,0,1,1,9,9,0,0,16,0,0,0.6%,2020
249,Nick Bellore (SEA),0,0,0,0,0,0,1,1,4,4,0,0,10,0,0,0.6%,2021
8,Nick Chubb (CLE),298,"1,494",5,88,11,8,36,49,278,7.7,0,3,16,255.2,16,99.4%,2019
13,Nick Chubb (CLE),228,"1,259",5.5,70,0,8,20,25,174,8.7,1,1,14,215.3,15.4,99.4%,2021
11,Nick Chubb (CLE),190,"1,067",5.6,59,0,12,16,18,150,9.4,0,1,12,207.7,17.3,99.4%,2020
17,Nick Chubb (CLE),192,996,5.2,92,11,8,20,29,149,7.5,2,0,16,194.5,12.2,99.4%,2018
218,Nick Ralston (DAL),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021
15,Nyheim Hines (IND),89,380,4.3,31,0,3,63,76,482,7.7,4,0,16,193.2,12.1,51.7%,2020
27,Nyheim Hines (IND),85,314,3.7,18,0,2,63,81,425,6.7,2,0,16,160.9,10.1,51.7%,2018
42,Nyheim Hines (IND),52,199,3.8,18,0,2,44,58,320,7.3,0,1,16,117.9,7.4,51.7%,2019
48,Nyheim Hines (IND),56,276,4.9,34,0,2,40,57,310,7.8,1,2,17,112.6,6.6,51.7%,2021
115,Patrick DiMarco (FA),1,9,9,9,0,0,3,4,62,20.7,0,0,16,10.1,0.6,0.0%,2018
114,Patrick DiMarco (FA),3,7,2.3,4,0,0,5,7,41,8.2,0,0,16,9.8,0.6,0.0%,2019
62,Patrick Laird (MIA),62,168,2.7,18,0,1,23,30,204,8.9,0,0,15,68.2,4.5,0.0%,2019
100,Patrick Laird (MIA),13,72,5.5,17,0,0,10,12,68,6.8,0,1,16,22,1.4,0.0%,2020
141,Patrick Laird (MIA),1,4,4,4,0,0,3,3,17,5.7,0,0,3,5.1,1.7,0.0%,2021
108,Patrick Ricard (BAL),2,4,2,2,0,0,8,13,63,7.9,1,0,8,20.7,2.6,0.1%,2021
113,Patrick Ricard (BAL),1,-1,-1,0,0,0,9,12,45,5,1,1,15,17,1.1,0.1%,2020
339,Patrick Ricard (BAL),0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.1%,2018
321,Patrick Ricard (BAL),0,0,0,0,0,0,8,11,47,5.9,1,0,16,0,0,0.1%,2019
115,Patrick Taylor Jr. (GB),23,89,3.9,12,0,1,2,2,3,1.5,0,0,5,17.2,3.4,0.1%,2021
126,Paul Perkins (FA),12,29,2.4,13,0,0,1,1,9,9,0,0,4,4.8,1.2,0.0%,2019
31,Peyton Barber (FA),234,871,3.7,28,4,5,20,29,92,4.6,1,1,16,150.3,9.4,0.6%,2018
