Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
32,Chase McLaughlin (FA),0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.2%,2019,15
3,Chris Boswell (PIT),4,4,100,51,0,2,1,0,1,2,2,1,16,16,10.7%,2019,9
8,Chris Boswell (PIT),3,3,100,41,0,1,1,1,0,2,2,1,12,12,10.7%,2019,5
7,Chris Boswell (PIT),2,3,66.7,42,0,0,0,2,0,3,3,1,11,11,10.7%,2019,8
4,Chris Boswell (PIT),3,3,100,47,0,2,0,1,0,1,1,1,11,11,10.7%,2019,12
9,Chris Boswell (PIT),3,3,100,37,0,1,2,0,0,2,2,1,11,11,10.7%,2019,14
10,Chris Boswell (PIT),2,2,100,49,0,1,0,1,0,3,3,1,10,10,10.7%,2019,4
8,Chris Boswell (PIT),2,2,100,41,0,0,1,1,0,2,2,1,9,9,10.7%,2019,2
8,Chris Boswell (PIT),2,2,100,46,0,1,0,1,0,2,2,1,9,9,10.7%,2019,3
15,Chris Boswell (PIT),2,2,100,39,0,1,1,0,0,2,2,1,8,8,10.7%,2019,13
15,Chris Boswell (PIT),1,1,100,20,0,1,0,0,0,3,3,1,6,6,10.7%,2019,6
21,Chris Boswell (PIT),1,1,100,33,0,0,1,0,0,2,2,1,5,5,10.7%,2019,10
22,Chris Boswell (PIT),1,1,100,49,0,0,0,1,0,1,1,1,5,5,10.7%,2019,15
27,Chris Boswell (PIT),1,1,100,49,0,0,0,1,0,1,1,1,5,5,10.7%,2019,16
28,Chris Boswell (PIT),1,1,100,26,0,1,0,0,0,1,1,1,4,4,10.7%,2019,17
29,Chris Boswell (PIT),1,1,100,19,1,0,0,0,0,0,0,1,3,3,10.7%,2019,1
28,Chris Boswell (PIT),0,1,0,0,0,0,0,0,0,1,1,1,1,1,10.7%,2019,11
4,Cody Parkey (FA),2,2,100,51,0,0,0,1,1,3,3,1,12,12,0.1%,2019,8
19,Cody Parkey (FA),1,1,100,45,0,0,0,1,0,2,3,1,6,6,0.1%,2019,7
75,Cody Parkey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,1
70,Cody Parkey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019,6
2,Dan Bailey (FA),4,4,100,48,0,0,2,2,0,2,2,1,16,16,0.0%,2019,5
1,Dan Bailey (FA),4,4,100,50,0,2,0,1,1,1,1,1,16,16,0.0%,2019,8
2,Dan Bailey (FA),4,4,100,44,0,2,1,1,0,3,4,1,16,16,0.0%,2019,15
6,Dan Bailey (FA),4,4,100,39,0,0,4,0,0,1,1,1,13,13,0.0%,2019,17
2,Dan Bailey (FA),2,2,100,50,0,1,0,0,1,4,4,1,12,12,0.0%,2019,3
13,Dan Bailey (FA),2,2,100,50,0,1,0,0,1,2,2,1,10,10,0.0%,2019,14
11,Dan Bailey (FA),1,1,100,39,0,0,1,0,0,5,5,1,8,8,0.0%,2019,6
13,Dan Bailey (FA),2,2,100,27,0,2,0,0,0,2,2,1,8,8,0.0%,2019,10
20,Dan Bailey (FA),1,1,100,47,0,0,0,1,0,3,4,1,7,7,0.0%,2019,13
17,Dan Bailey (FA),0,1,0,0,0,0,0,0,0,6,6,1,6,6,0.0%,2019,7
21,Dan Bailey (FA),1,1,100,29,0,1,0,0,0,2,3,1,5,5,0.0%,2019,9
24,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,0.0%,2019,1
22,Dan Bailey (FA),1,2,50,31,0,0,1,0,0,1,2,1,4,4,0.0%,2019,2
29,Dan Bailey (FA),1,1,100,23,0,1,0,0,0,1,1,1,4,4,0.0%,2019,16
22,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,0.0%,2019,11
73,Dan Bailey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,4
8,Daniel Carlson (LV),3,4,75,34,0,1,2,0,0,1,1,1,10,10,89.9%,2019,15
10,Daniel Carlson (LV),2,3,66.7,40,0,1,0,1,0,2,3,1,9,9,89.9%,2019,10
15,Daniel Carlson (LV),3,4,75,33,0,2,1,0,0,0,0,1,9,9,89.9%,2019,17
15,Daniel Carlson (LV),1,1,100,26,0,1,0,0,0,4,4,1,7,7,89.9%,2019,4
19,Daniel Carlson (LV),1,1,100,41,0,0,0,1,0,3,3,1,7,7,89.9%,2019,5
15,Daniel Carlson (LV),1,1,100,45,0,0,0,1,0,3,3,1,7,7,89.9%,2019,7
17,Daniel Carlson (LV),1,1,100,44,0,0,0,1,0,3,3,1,7,7,89.9%,2019,8
15,Daniel Carlson (LV),1,2,50,32,0,0,1,0,0,4,4,1,7,7,89.9%,2019,9
19,Daniel Carlson (LV),1,1,100,48,0,0,0,1,0,3,3,1,7,7,89.9%,2019,16
19,Daniel Carlson (LV),1,1,100,29,0,1,0,0,0,3,3,1,6,6,89.9%,2019,1
16,Daniel Carlson (LV),1,1,100,20,0,1,0,0,0,2,2,1,5,5,89.9%,2019,11
26,Daniel Carlson (LV),1,1,100,29,0,1,0,0,0,1,1,1,4,4,89.9%,2019,2
23,Daniel Carlson (LV),1,2,50,48,0,0,0,1,0,0,0,1,4,4,89.9%,2019,12
29,Daniel Carlson (LV),1,2,50,34,0,0,1,0,0,0,1,1,3,3,89.9%,2019,13
31,Daniel Carlson (LV),0,0,0,0,0,0,0,0,0,3,3,1,3,3,89.9%,2019,14
31,Daniel Carlson (LV),0,1,0,0,0,0,0,0,0,2,2,1,2,2,89.9%,2019,3
1,Dustin Hopkins (LAC),4,4,100,42,0,1,2,1,0,1,1,1,14,14,3.2%,2019,12
6,Dustin Hopkins (LAC),3,4,75,42,0,1,1,1,0,2,2,1,12,12,3.2%,2019,13
5,Dustin Hopkins (LAC),2,2,100,53,0,0,0,1,1,3,3,1,12,12,3.2%,2019,15
9,Dustin Hopkins (LAC),2,2,100,48,0,0,0,2,0,3,3,1,11,11,3.2%,2019,1
11,Dustin Hopkins (LAC),3,3,100,42,0,1,1,1,0,1,1,1,11,11,3.2%,2019,17
10,Dustin Hopkins (LAC),3,3,100,43,0,1,1,1,0,0,0,1,10,10,3.2%,2019,8
11,Dustin Hopkins (LAC),3,3,100,39,0,1,2,0,0,0,0,1,9,9,3.2%,2019,9
23,Dustin Hopkins (LAC),1,2,50,21,0,1,0,0,0,2,2,1,5,5,3.2%,2019,6
24,Dustin Hopkins (LAC),1,1,100,52,0,0,0,0,1,0,1,1,5,5,3.2%,2019,14
28,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,5,5,1,5,5,3.2%,2019,16
18,Dustin Hopkins (LAC),1,2,50,44,0,0,0,1,0,0,0,1,4,4,3.2%,2019,11
28,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,3,3,1,3,3,3.2%,2019,2
26,Dustin Hopkins (LAC),1,2,50,35,0,0,1,0,0,0,0,1,3,3,3.2%,2019,3
29,Dustin Hopkins (LAC),1,1,100,21,0,1,0,0,0,0,0,1,3,3,3.2%,2019,4
29,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,1,1,1,1,1,3.2%,2019,5
67,Dustin Hopkins (LAC),0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.2%,2019,7
2,Eddy Pineiro (NYJ),3,3,100,53,0,0,0,1,2,1,1,1,15,15,0.1%,2019,2
7,Eddy Pineiro (NYJ),4,4,100,34,0,2,2,0,0,1,1,1,13,13,0.1%,2019,17
11,Eddy Pineiro (NYJ),3,3,100,38,0,1,2,0,0,1,1,1,10,10,0.1%,2019,4
9,Eddy Pineiro (NYJ),3,5,60,25,1,2,0,0,0,1,1,1,10,10,0.1%,2019,8
14,Eddy Pineiro (NYJ),1,2,50,38,0,0,1,0,0,4,4,1,7,7,0.1%,2019,3
17,Eddy Pineiro (NYJ),2,2,100,26,0,2,0,0,0,1,2,1,7,7,0.1%,2019,12
19,Eddy Pineiro (NYJ),1,1,100,36,0,0,1,0,0,4,4,1,7,7,0.1%,2019,14
15,Eddy Pineiro (NYJ),2,2,100,30,0,1,1,0,0,1,1,1,7,7,0.1%,2019,15
