Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
112,Javorius Allen (FA),10,36,3.6,19,0,1,1,2,9,9,0,0,11,11.5,1,0.1%,2019
113,Tra Carson (FA),18,48,2.7,12,0,0,4,4,18,4.5,0,0,4,10.6,2.7,0.0%,2019
114,Patrick DiMarco (FA),3,7,2.3,4,0,0,5,7,41,8.2,0,0,16,9.8,0.6,0.0%,2019
115,Alex Armah Jr. (WAS),6,11,1.8,4,0,1,2,2,6,3,0,0,16,9.7,0.6,0.1%,2019
116,Troymaine Pope (FA),10,20,2,8,0,0,2,3,14,7,1,1,14,9.4,0.7,0.0%,2019
117,Khari Blasingame (CHI),0,0,0,0,0,0,4,5,54,13.5,0,0,6,9.4,1.6,0.1%,2019
118,Marshawn Lynch (FA),12,34,2.8,15,0,1,0,0,0,0,0,0,2,9.4,4.7,0.3%,2019
119,Jon Hilliman (FA),30,91,3,10,0,0,3,4,1,0.3,0,2,3,8.2,2.7,0.1%,2019
120,Devine Ozigbo (FA),9,27,3,9,0,0,3,5,23,7.7,0,0,10,8,0.8,0.1%,2019
121,Dwayne Washington (NO),8,60,7.5,31,1,0,1,1,6,6,0,0,16,7.6,0.5,0.1%,2019
122,Elijhaa Penny (NYG),15,39,2.6,6,0,0,2,4,9,4.5,0,0,16,6.8,0.4,0.0%,2019
123,Taiwan Jones (BUF),9,40,4.4,11,0,0,1,1,9,9,0,0,11,5.9,0.5,0.0%,2019
124,Nick Bawden (NYJ),0,0,0,0,0,0,4,6,17,4.3,0,0,10,5.7,0.6,0.0%,2019
125,Anthony Sherman (FA),4,9,2.3,5,0,0,2,3,22,11,0,0,16,5.1,0.3,0.0%,2019
126,Paul Perkins (FA),12,29,2.4,13,0,0,1,1,9,9,0,0,4,4.8,1.2,0.0%,2019
127,C.J. Anderson (FA),16,43,2.7,9,0,0,0,0,0,0,0,0,2,4.3,2.2,1.0%,2019
128,T.J. Logan (FA),3,10,3.3,6,0,0,2,3,13,6.5,0,0,12,4.3,0.4,0.0%,2019
129,Tyler Ervin (FA),1,10,10,10,0,0,2,4,11,5.5,0,0,10,4.1,0.4,0.0%,2019
130,Zach Zenner (FA),3,-2,-0.7,1,0,0,2,3,19,9.5,0,0,6,3.7,0.6,0.0%,2019
131,Keith Smith (ATL),5,8,1.6,3,0,0,1,4,13,13,0,0,16,3.1,0.2,0.1%,2019
132,Jay Ajayi (FA),10,30,3,11,0,0,0,1,0,0,0,0,4,3,0.8,7.0%,2019
133,Dalyn Dawkins (FA),11,26,2.4,14,0,0,0,1,0,0,0,0,2,2.6,1.3,0.1%,2019
134,Roosevelt Nix (FA),0,0,0,0,0,0,2,3,4,2,0,0,3,2.4,0.8,0.0%,2019
135,Ricky Ortiz (FA),0,0,0,0,0,0,1,1,8,8,0,0,2,1.8,0.9,0.0%,2019
136,Samaje Perine (CIN),5,16,3.2,9,0,0,0,0,0,0,0,0,7,1.6,0.2,5.4%,2019
137,Jakob Johnson (LV),0,0,0,0,0,0,1,2,5,5,0,0,4,1.5,0.4,0.1%,2019
138,Senorise Perry (FA),3,3,1,6,0,0,1,1,1,1,0,0,11,1.4,0.1,0.0%,2019
139,Josh Adams (FA),8,12,1.5,10,0,0,0,0,0,0,0,0,3,1.2,0.4,0.1%,2019
140,Damien Harris (NE),4,12,3,13,0,0,0,0,0,0,0,0,2,1.2,0.6,91.9%,2019
141,Dexter Williams (FA),5,11,2.2,5,0,0,0,0,0,0,0,0,4,1.1,0.3,0.0%,2019
142,Buddy Howell (LAR),5,10,2,4,0,0,0,0,0,0,0,0,16,1,0.1,0.0%,2019
143,John Kelly (CLE),3,9,3,6,0,0,0,0,0,0,0,0,5,0.9,0.2,0.1%,2019
144,Jordan Scarlett (FA),4,9,2.3,6,0,0,0,0,0,0,0,0,9,0.9,0.1,0.0%,2019
145,Josh Ferguson (FA),3,9,3,7,0,0,0,0,0,0,0,0,2,0.9,0.5,0.0%,2019
146,Ryan Nall (DAL),2,8,4,7,0,0,0,0,0,0,0,0,8,0.8,0.1,0.1%,2019
147,Tony Brooks-James (FA),8,7,0.9,8,0,0,0,0,0,0,0,0,3,0.7,0.2,0.0%,2019
148,De'Lance Turner (FA),4,6,1.5,5,0,0,0,0,0,0,0,0,9,0.6,0.1,0.1%,2019
149,Alfred Morris (FA),1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.1%,2019
150,James Develin (FA),2,3,1.5,2,0,0,0,0,0,0,0,0,2,0.3,0.2,0.0%,2019
195,Trevon Wesco (NYJ),1,2,2,2,0,0,2,3,47,23.5,0,0,16,0,0,0.1%,2019
198,Trayveon Williams (CIN),0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.1%,2019
233,Cullen Gillaspia (NYG),0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.0%,2019
235,Andrew Beck (DEN),1,3,3,3,0,0,9,12,90,10,1,0,16,0,0,0.1%,2019
236,Chandler Cox (FA),0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.1%,2019
239,Craig Reynolds (DET),0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5%,2019
240,Austin Walter (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019
284,Stevan Ridley (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
286,DuJuan Harris (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
287,Nick Bellore (SEA),0,0,0,0,0,0,2,2,23,11.5,1,0,14,0,0,0.6%,2019
290,LeGarrette Blount (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019
291,Chris Ivory (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
293,Travaris Cadet (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
294,Jamize Olawale (FA),0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0.0%,2019
295,Cordarrelle Patterson (ATL),17,103,6.1,46,1,0,11,17,83,7.5,0,0,16,0,0,93.2%,2019
296,Lamar Miller (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
297,Robert Turbin (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2019
298,Jamaal Charles (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019
299,Jonathan Stewart (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
308,J.P. Holtz (NO),0,0,0,0,0,0,7,8,91,13,0,0,15,0,0,0.0%,2019
310,Tre Madden (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019
311,Brandin Bryant (BUF),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2019
312,Joe Williams (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
313,Rod Smith (FA),0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0%,2019
314,Alex Collins (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.6%,2019
315,D.J. Foster (FA),0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0%,2019
316,Kenneth Dixon (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019
317,Jeremy McNichols (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6%,2019
