Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
114,Zach Line (FA),7,20,2.9,5,0,0,6,10,36,6,0,0,12,8.6,0.7,0.0%,2019
115,Tra Carson (FA),18,48,2.7,12,0,0,4,4,18,4.5,0,0,4,8.6,2.2,0.0%,2019
116,Troymaine Pope (FA),10,20,2,8,0,0,2,3,14,7,1,1,14,8.4,0.6,0.0%,2019
117,Mike Davis (FA),13,27,2.1,8,0,0,7,8,22,3.1,0,0,12,8.4,0.7,1.0%,2019
118,Khari Blasingame (CHI),0,0,0,0,0,0,4,5,54,13.5,0,0,6,7.4,1.2,0.0%,2019
119,Patrick DiMarco (FA),3,7,2.3,4,0,0,5,7,41,8.2,0,0,16,7.3,0.5,0.0%,2019
120,Dwayne Washington (NO),8,60,7.5,31,2,0,1,1,6,6,0,0,16,7.1,0.4,0.1%,2019
121,Jon Hilliman (FA),30,91,3,10,0,0,3,4,1,0.3,0,2,3,6.7,2.2,0.0%,2019
122,Devine Ozigbo (FA),9,27,3,9,0,0,3,5,23,7.7,0,0,10,6.5,0.7,0.0%,2019
123,Elijhaa Penny (FA),15,39,2.6,6,0,0,2,4,9,4.5,0,0,16,5.8,0.4,0.0%,2019
124,Taiwan Jones (BUF),9,40,4.4,11,0,0,1,1,9,9,0,0,11,5.4,0.5,0.0%,2019
125,C.J. Anderson (FA),16,43,2.7,9,0,0,0,0,0,0,0,0,2,4.3,2.2,1.0%,2019
126,Paul Perkins (FA),12,29,2.4,13,0,0,1,1,9,9,0,0,4,4.3,1.1,0.0%,2019
127,Anthony Sherman (FA),4,9,2.3,5,0,0,2,3,22,11,0,0,16,4.1,0.3,0.0%,2019
128,Nick Bawden (NYJ),0,0,0,0,0,0,4,6,17,4.3,0,0,10,3.7,0.4,0.0%,2019
129,T.J. Logan (FA),3,10,3.3,6,0,0,2,3,13,6.5,0,0,12,3.3,0.3,0.0%,2019
130,Tyler Ervin (FA),1,10,10,10,0,0,2,4,11,5.5,0,0,10,3.1,0.3,0.0%,2019
131,Jay Ajayi (FA),10,30,3,11,0,0,0,1,0,0,0,0,4,3,0.8,7.0%,2019
132,Zach Zenner (FA),3,-2,-0.7,1,0,0,2,3,19,9.5,0,0,6,2.7,0.5,0.0%,2019
133,Keith Smith (ATL),5,8,1.6,3,0,0,1,4,13,13,0,0,16,2.6,0.2,0.0%,2019
134,Dalyn Dawkins (FA),11,26,2.4,14,0,0,0,1,0,0,0,0,2,2.6,1.3,0.1%,2019
135,Samaje Perine (CIN),5,16,3.2,9,0,0,0,0,0,0,0,0,7,1.6,0.2,46.7%,2019
