Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
5,Austin Ekeler (LAC),5,7,1.4,3,0,0,7,8,118,16.9,1,0,1,22,22,100.0%,2019,7
5,Austin Ekeler (LAC),17,66,3.9,12,0,1,6,6,67,11.2,0,1,1,20.3,20.3,100.0%,2019,2
7,Austin Ekeler (LAC),5,24,4.8,18,0,0,8,12,108,13.5,0,0,1,17.2,17.2,100.0%,2019,11
17,Austin Ekeler (LAC),3,7,2.3,4,0,0,15,16,86,5.7,0,1,1,14.8,14.8,100.0%,2019,5
18,Austin Ekeler (LAC),9,16,1.8,8,0,0,4,5,51,12.8,1,0,1,14.7,14.7,100.0%,2019,13
20,Austin Ekeler (LAC),9,46,5.1,22,1,0,9,11,43,4.8,0,0,1,13.4,13.4,100.0%,2019,17
13,Austin Ekeler (LAC),6,19,3.2,10,0,0,2,2,29,14.5,1,0,1,11.8,11.8,100.0%,2019,10
22,Austin Ekeler (LAC),9,36,4,11,0,0,7,7,45,6.4,0,0,1,11.6,11.6,100.0%,2019,3
25,Austin Ekeler (LAC),12,70,5.8,16,0,0,4,4,23,5.8,0,0,1,11.3,11.3,100.0%,2019,9
25,Austin Ekeler (LAC),7,19,2.7,11,0,0,5,7,62,12.4,0,0,1,10.6,10.6,100.0%,2019,15
29,Austin Ekeler (LAC),4,11,2.8,5,0,0,5,6,58,11.6,0,0,1,9.4,9.4,100.0%,2019,16
27,Austin Ekeler (LAC),3,3,1,3,0,0,2,3,19,9.5,1,0,1,9.2,9.2,100.0%,2019,8
43,Austin Ekeler (LAC),5,14,2.8,11,0,0,3,4,14,4.7,0,0,1,4.3,4.3,100.0%,2019,6
83,Austin Walter (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,6
18,Benny Snell Jr. (PIT),18,91,5.1,19,0,1,0,0,0,0,0,0,1,15.1,15.1,1.3%,2019,17
21,Benny Snell Jr. (PIT),16,63,3.9,14,0,1,1,1,4,4,0,0,1,13.2,13.2,1.3%,2019,13
18,Benny Snell Jr. (PIT),21,98,4.7,21,1,0,1,1,5,5,0,0,1,10.8,10.8,1.3%,2019,12
28,Benny Snell Jr. (PIT),17,75,4.4,20,1,0,1,1,14,14,0,0,1,9.4,9.4,1.3%,2019,6
62,Benny Snell Jr. (PIT),1,23,23,23,1,0,0,0,0,0,0,0,1,2.3,2.3,1.3%,2019,2
66,Benny Snell Jr. (PIT),16,41,2.6,9,0,0,0,0,0,0,0,1,1,2.1,2.1,1.3%,2019,14
66,Benny Snell Jr. (PIT),7,14,2,6,0,0,0,0,0,0,0,0,1,1.4,1.4,1.3%,2019,16
65,Benny Snell Jr. (PIT),5,13,2.6,5,0,0,0,0,0,0,0,0,1,1.3,1.3,1.3%,2019,8
70,Benny Snell Jr. (PIT),3,6,2,4,0,0,0,0,0,0,0,0,1,0.6,0.6,1.3%,2019,3
77,Benny Snell Jr. (PIT),2,1,0.5,1,0,0,0,1,0,0,0,0,1,0.1,0.1,1.3%,2019,4
83,Benny Snell Jr. (PIT),2,1,0.5,2,0,0,0,0,0,0,0,0,1,0.1,0.1,1.3%,2019,15
